lane,year,industry,n_complete,estimated,r2
history_reconstructed,1980,1,0,False,
history_reconstructed,1980,3,0,False,
history_reconstructed,1980,7,0,False,
history_reconstructed,1980,11,0,False,
history_reconstructed,1980,15,0,False,
history_reconstructed,1980,17,0,False,
history_reconstructed,1980,21,0,False,
history_reconstructed,1980,23,0,False,
history_reconstructed,1980,27,0,False,
history_reconstructed,1980,31,0,False,
history_reconstructed,1980,33,0,False,
history_reconstructed,1980,41,0,False,
history_reconstructed,1980,43,0,False,
history_reconstructed,1980,45,0,False,
history_reconstructed,1980,63,0,False,
history_reconstructed,1980,71,0,False,
history_reconstructed,1981,1,0,False,
history_reconstructed,1981,3,0,False,
history_reconstructed,1981,7,0,False,
history_reconstructed,1981,11,0,False,
history_reconstructed,1981,15,0,False,
history_reconstructed,1981,17,0,False,
history_reconstructed,1981,21,0,False,
history_reconstructed,1981,23,0,False,
history_reconstructed,1981,27,0,False,
history_reconstructed,1981,31,0,False,
history_reconstructed,1981,33,0,False,
history_reconstructed,1981,41,0,False,
history_reconstructed,1981,43,0,False,
history_reconstructed,1981,45,0,False,
history_reconstructed,1981,63,0,False,
history_reconstructed,1981,71,0,False,
history_reconstructed,1982,1,4,False,
history_reconstructed,1982,3,2,False,
history_reconstructed,1982,7,4,False,
history_reconstructed,1982,9,0,False,
history_reconstructed,1982,11,3,False,
history_reconstructed,1982,15,1,False,
history_reconstructed,1982,17,1,False,
history_reconstructed,1982,19,0,False,
history_reconstructed,1982,21,6,False,
history_reconstructed,1982,23,26,True,0.7522924077895161
history_reconstructed,1982,27,4,False,
history_reconstructed,1982,31,3,False,
history_reconstructed,1982,33,2,False,
history_reconstructed,1982,41,3,False,
history_reconstructed,1982,43,15,False,
history_reconstructed,1982,45,5,False,
history_reconstructed,1982,63,1,False,
history_reconstructed,1982,71,1,False,
history_reconstructed,1983,1,4,False,
history_reconstructed,1983,3,2,False,
history_reconstructed,1983,7,4,False,
history_reconstructed,1983,9,0,False,
history_reconstructed,1983,11,3,False,
history_reconstructed,1983,15,1,False,
history_reconstructed,1983,17,1,False,
history_reconstructed,1983,19,0,False,
history_reconstructed,1983,21,9,False,
history_reconstructed,1983,23,29,True,0.8996863149685738
history_reconstructed,1983,27,4,False,
history_reconstructed,1983,31,3,False,
history_reconstructed,1983,33,2,False,
history_reconstructed,1983,41,4,False,
history_reconstructed,1983,43,15,False,
history_reconstructed,1983,45,5,False,
history_reconstructed,1983,63,1,False,
history_reconstructed,1983,71,1,False,
history_reconstructed,1984,1,4,False,
history_reconstructed,1984,3,2,False,
history_reconstructed,1984,5,0,False,
history_reconstructed,1984,7,4,False,
history_reconstructed,1984,9,1,False,
history_reconstructed,1984,11,3,False,
